alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,44.224,0.0,25.531,0.0,43.914,0.0,46.346,0.0
0.1,3,44.34,0.029,26.074,0.059,44.085,0.04,46.47,0.024
0.2,3,44.454,0.052,26.927,0.191,44.268,0.08,46.545,0.066
0.3,3,44.528,0.072,27.841,0.338,44.347,0.077,46.587,0.081
0.5,3,44.625,0.083,30.215,0.22,44.494,0.115,46.493,0.105
0.7,3,44.505,0.043,31.109,0.011,44.654,0.102,46.239,0.084
1.0,3,44.181,0.042,31.216,0.191,44.617,0.143,45.846,0.065
