alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,44.224,0.0,25.531,0.0,43.914,0.0,46.346,0.0
0.1,3,44.357,0.053,26.262,0.24,44.111,0.059,46.468,0.038
0.2,3,44.479,0.069,27.343,0.269,44.243,0.047,46.543,0.061
0.3,3,44.514,0.087,28.163,0.27,44.314,0.064,46.534,0.104
0.5,3,44.535,0.159,30.225,0.563,44.497,0.059,46.383,0.149
0.7,3,44.335,0.158,30.927,0.726,44.667,0.082,46.052,0.142
1.0,3,43.929,0.151,31.18,0.73,44.686,0.074,45.534,0.152
