alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,55.453,0.0,41.318,0.0,51.482,0.0,57.814,0.0
1.0,3,55.472,0.003,41.487,0.024,51.576,0.019,57.802,0.002
2.0,3,55.496,0.006,41.81,0.036,51.667,0.047,57.783,0.006
3.0,3,55.514,0.01,42.058,0.134,51.721,0.032,57.775,0.02
5.0,3,55.539,0.023,42.694,0.084,51.841,0.027,57.721,0.032
7.0,3,55.528,0.046,43.019,0.092,51.879,0.046,57.666,0.061
10.0,3,55.471,0.081,43.532,0.095,52.051,0.073,57.516,0.104
