alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,53.11,0.0,43.981,0.0,48.983,0.0,55.492,0.0
1.0,3,53.139,0.015,44.036,0.07,49.05,0.023,55.508,0.011
2.0,3,53.157,0.022,44.135,0.086,49.113,0.064,55.504,0.026
3.0,3,53.17,0.033,44.252,0.142,49.125,0.044,55.503,0.039
5.0,3,53.153,0.04,44.439,0.277,49.147,0.074,55.446,0.065
7.0,3,53.127,0.034,44.635,0.283,49.186,0.091,55.37,0.087
10.0,3,53.021,0.058,44.716,0.332,49.286,0.162,55.198,0.119
