alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,42.526,0.0,48.018,0.0,44.868,0.0,41.713,0.0
1.0,3,42.575,0.012,47.994,0.023,44.907,0.011,41.769,0.011
2.0,3,42.621,0.019,47.99,0.021,44.941,0.021,41.82,0.019
3.0,3,42.651,0.025,47.966,0.034,44.945,0.015,41.856,0.025
5.0,3,42.684,0.058,47.945,0.054,45.039,0.04,41.883,0.064
7.0,3,42.67,0.088,47.864,0.074,45.106,0.04,41.862,0.097
10.0,3,42.556,0.118,47.612,0.126,45.092,0.031,41.742,0.136
