alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,38.674,0.0,28.585,0.0,15.955,0.0,41.308,0.0
0.1,3,39.041,0.062,29.319,0.176,17.488,0.004,41.604,0.076
0.2,3,39.378,0.087,30.247,0.133,18.41,0.009,41.866,0.093
0.3,3,39.628,0.091,31.225,0.121,18.438,0.025,42.034,0.128
0.5,3,40.069,0.106,33.582,0.274,18.54,0.048,42.221,0.152
0.7,3,40.345,0.046,34.475,0.482,18.495,0.148,42.435,0.156
1.0,3,40.641,0.035,34.976,0.981,18.646,0.126,42.749,0.17
