alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,38.674,0.0,28.585,0.0,15.955,0.0,41.308,0.0
0.1,3,39.037,0.039,29.551,0.116,17.488,0.015,41.574,0.037
0.2,3,39.318,0.054,30.68,0.311,18.074,0.028,41.761,0.026
0.3,3,39.512,0.075,31.705,0.335,18.101,0.013,41.862,0.045
0.35,3,39.668,0.089,32.601,0.334,18.33,0.193,41.917,0.065
0.4,3,39.758,0.118,32.833,0.538,18.467,0.035,41.985,0.069
0.45,3,39.898,0.145,33.644,0.847,18.492,0.048,42.036,0.057
0.5,3,40.044,0.128,34.576,0.839,18.5,0.046,42.076,0.057
0.55,3,40.108,0.142,34.781,1.013,18.508,0.055,42.123,0.052
0.6,3,40.19,0.134,35.093,1.112,18.425,0.212,42.179,0.034
0.65,3,40.231,0.131,35.167,1.167,18.44,0.214,42.218,0.037
0.7,3,40.292,0.12,35.359,1.172,18.386,0.176,42.267,0.048
1.0,3,40.631,0.224,36.467,1.871,18.235,0.394,42.547,0.058
1.25,3,40.976,0.25,37.369,2.17,18.161,0.517,42.857,0.213
1.5,3,41.322,0.298,38.129,2.088,18.18,0.708,43.186,0.364
2.0,3,41.685,0.208,39.479,1.854,18.491,1.37,43.428,0.18
