alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,44.224,0.0,25.531,0.0,43.914,0.0,46.346,0.0
0.1,3,44.342,0.013,26.578,0.032,44.071,0.051,46.392,0.026
0.2,3,44.45,0.065,27.522,0.16,44.247,0.092,46.418,0.071
0.3,3,44.518,0.041,28.493,0.111,44.329,0.059,46.428,0.051
0.5,3,44.549,0.052,30.338,0.233,44.519,0.096,46.279,0.076
0.7,3,44.423,0.11,31.492,0.554,44.595,0.16,45.992,0.099
1.0,3,44.074,0.154,32.264,0.835,44.596,0.287,45.48,0.143
