alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,41.196,0.0,43.922,0.0,45.914,0.0,40.552,0.0
1.0,3,41.243,0.007,43.911,0.024,45.99,0.005,40.601,0.006
2.0,3,41.292,0.009,43.933,0.025,46.059,0.017,40.648,0.01
3.0,3,41.323,0.011,43.925,0.027,46.095,0.006,40.681,0.012
5.0,3,41.344,0.042,43.91,0.041,46.211,0.028,40.693,0.05
7.0,3,41.313,0.066,43.838,0.047,46.277,0.023,40.652,0.077
10.0,3,41.187,0.103,43.59,0.063,46.287,0.015,40.516,0.126
