alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,46.825,0.0,30.257,0.0,44.723,0.0,48.938,0.0
0.1,3,46.873,0.046,30.683,0.178,44.867,0.04,48.999,0.032
0.2,3,46.974,0.066,31.542,0.462,45.09,0.08,49.05,0.028
0.3,3,46.994,0.055,32.294,0.377,45.114,0.122,49.062,0.024
0.5,3,47.096,0.094,34.967,0.506,45.361,0.177,48.926,0.058
0.7,3,46.869,0.053,35.61,0.337,45.541,0.228,48.54,0.077
1.0,3,46.422,0.036,35.269,0.125,45.619,0.186,47.97,0.013
