alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,53.11,0.0,43.981,0.0,48.983,0.0,55.492,0.0
1.0,3,53.059,0.002,43.998,0.088,48.912,0.074,55.434,0.012
2.0,3,53.036,0.012,44.155,0.217,48.896,0.077,55.38,0.038
3.0,3,52.991,0.052,44.447,0.26,48.836,0.091,55.289,0.092
5.0,3,52.803,0.038,44.653,0.385,48.682,0.119,55.035,0.096
7.0,3,52.554,0.065,45.061,0.44,48.495,0.227,54.678,0.132
10.0,3,51.655,0.042,45.122,0.562,48.119,0.353,53.521,0.138
