alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,44.224,0.0,25.531,0.0,43.914,0.0,46.346,0.0
0.1,3,44.267,0.012,26.486,0.211,43.918,0.04,46.347,0.017
0.2,3,44.282,0.036,27.917,0.191,43.959,0.068,46.248,0.056
0.3,3,44.178,0.064,28.771,0.29,43.911,0.285,46.058,0.079
0.5,3,43.879,0.079,31.088,0.943,43.587,0.361,45.522,0.106
0.7,3,43.349,0.151,31.128,0.561,43.158,0.464,44.937,0.182
1.0,3,42.187,0.19,30.413,0.484,42.084,0.482,43.758,0.249
