alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,46.825,0.0,30.257,0.0,44.723,0.0,48.938,0.0
0.1,3,46.904,0.029,30.758,0.115,44.907,0.077,49.018,0.009
0.2,3,47.003,0.034,31.714,0.143,45.084,0.074,49.075,0.028
0.3,3,47.046,0.064,32.616,0.359,45.142,0.087,49.087,0.067
0.35,3,47.089,0.041,33.405,0.118,45.152,0.081,49.087,0.061
0.4,3,47.081,0.056,33.566,0.182,45.187,0.047,49.068,0.065
0.45,3,47.079,0.061,33.89,0.306,45.216,0.065,49.043,0.082
0.5,3,47.111,0.062,34.981,0.11,45.266,0.089,48.972,0.114
0.55,3,47.102,0.091,35.389,0.2,45.303,0.115,48.919,0.143
0.6,3,47.057,0.104,35.601,0.389,45.348,0.098,48.834,0.171
0.65,3,47.002,0.124,35.62,0.327,45.419,0.102,48.747,0.197
0.7,3,46.918,0.145,35.671,0.215,45.453,0.107,48.626,0.203
1.0,3,46.422,0.145,35.336,0.284,45.499,0.09,47.999,0.203
1.25,3,46.105,0.122,34.865,0.23,45.519,0.092,47.642,0.2
1.5,3,45.786,0.169,34.223,0.265,45.544,0.143,47.32,0.27
2.0,3,44.546,0.317,31.988,0.647,45.516,0.225,46.08,0.52
