alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,46.825,0.0,30.257,0.0,44.723,0.0,48.938,0.0
0.1,3,46.889,0.037,30.737,0.12,44.896,0.041,49.003,0.026
0.2,3,46.963,0.039,31.562,0.261,45.081,0.081,49.03,0.03
0.3,3,47.012,0.046,32.482,0.385,45.16,0.08,49.046,0.037
0.5,3,47.08,0.067,35.081,0.276,45.312,0.12,48.901,0.063
0.7,3,46.879,0.052,35.846,0.167,45.495,0.15,48.535,0.06
1.0,3,46.419,0.03,35.434,0.171,45.565,0.113,47.96,0.015
