alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,40.453,0.0,50.219,0.0,33.872,0.0,40.011,0.0
1.0,3,40.486,0.005,50.18,0.028,33.864,0.019,40.051,0.005
2.0,3,40.517,0.009,50.154,0.039,33.858,0.031,40.087,0.011
3.0,3,40.535,0.012,50.123,0.065,33.84,0.049,40.109,0.017
5.0,3,40.531,0.043,50.062,0.092,33.925,0.033,40.102,0.053
7.0,3,40.474,0.066,49.99,0.121,33.953,0.079,40.039,0.082
10.0,3,40.316,0.106,49.87,0.162,33.825,0.225,39.869,0.136
