alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,44.224,0.0,25.531,0.0,43.914,0.0,46.346,0.0
0.1,3,44.342,0.011,26.326,0.079,44.028,0.021,46.462,0.012
0.2,3,44.421,0.046,27.14,0.162,44.103,0.04,46.516,0.051
0.3,3,44.453,0.045,27.827,0.245,44.144,0.063,46.531,0.063
0.5,3,44.427,0.068,29.556,0.464,44.117,0.114,46.387,0.072
0.7,3,44.265,0.059,30.614,0.292,44.213,0.102,46.072,0.082
1.0,3,43.914,0.04,30.724,0.753,44.242,0.045,45.632,0.098
