alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,52.715,0.0,51.139,0.0,20.088,0.0,55.022,0.0
1.0,3,52.747,0.011,51.1,0.05,19.783,0.17,55.095,0.009
2.0,3,52.78,0.03,51.078,0.073,19.552,0.206,55.163,0.034
3.0,3,52.793,0.041,51.065,0.121,19.305,0.188,55.198,0.054
5.0,3,52.789,0.047,50.966,0.23,19.293,0.481,55.228,0.063
7.0,3,52.826,0.037,50.929,0.218,19.376,0.945,55.284,0.038
10.0,3,52.8,0.041,50.789,0.296,19.743,1.267,55.281,0.057
