alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,42.731,0.0,48.104,0.0,46.831,0.0,41.851,0.0
1.0,3,42.776,0.007,48.088,0.022,46.881,0.006,41.9,0.008
2.0,3,42.823,0.012,48.101,0.022,46.92,0.025,41.948,0.014
3.0,3,42.855,0.017,48.085,0.033,46.935,0.025,41.984,0.022
5.0,3,42.882,0.051,48.066,0.052,47.047,0.047,42.001,0.062
7.0,3,42.862,0.075,48.001,0.06,47.12,0.049,41.971,0.091
10.0,3,42.763,0.111,47.786,0.054,47.158,0.031,41.86,0.138
