alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,55.453,0.0,41.318,0.0,51.482,0.0,57.814,0.0
1.0,3,55.461,0.006,41.51,0.043,51.537,0.019,57.793,0.01
2.0,3,55.455,0.015,41.816,0.056,51.576,0.039,57.748,0.021
3.0,3,55.453,0.007,42.121,0.099,51.558,0.02,57.723,0.021
5.0,3,55.437,0.057,42.766,0.194,51.554,0.037,57.643,0.089
7.0,3,55.382,0.123,43.397,0.115,51.571,0.061,57.504,0.165
10.0,3,55.256,0.2,44.036,0.204,51.66,0.169,57.27,0.233
