alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,42.526,0.0,48.018,0.0,44.868,0.0,41.713,0.0
1.0,3,42.566,0.004,48.012,0.013,44.929,0.009,41.755,0.004
2.0,3,42.609,0.008,48.025,0.015,44.98,0.019,41.799,0.009
3.0,3,42.637,0.01,48.03,0.018,45.017,0.012,41.827,0.011
5.0,3,42.658,0.03,48.008,0.033,45.13,0.023,41.84,0.041
7.0,3,42.634,0.053,47.938,0.025,45.218,0.021,41.805,0.067
10.0,3,42.513,0.088,47.75,0.028,45.265,0.044,41.665,0.111
