alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,44.224,0.0,25.531,0.0,43.914,0.0,46.346,0.0
0.1,3,44.339,0.029,26.073,0.061,44.085,0.04,46.469,0.023
0.2,3,44.453,0.045,26.879,0.138,44.268,0.08,46.547,0.06
0.3,3,44.526,0.064,27.759,0.272,44.345,0.078,46.592,0.079
0.5,3,44.615,0.073,30.106,0.168,44.49,0.116,46.492,0.1
0.7,3,44.493,0.035,31.018,0.03,44.638,0.127,46.236,0.082
1.0,3,44.179,0.043,31.152,0.217,44.629,0.126,45.848,0.069
