alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,53.11,0.0,43.981,0.0,48.983,0.0,55.492,0.0
1.0,3,53.15,0.004,44.035,0.03,49.069,0.011,55.519,0.003
2.0,3,53.187,0.008,44.171,0.065,49.18,0.04,55.527,0.008
3.0,3,53.216,0.018,44.222,0.164,49.242,0.037,55.546,0.004
5.0,3,53.246,0.008,44.484,0.176,49.374,0.031,55.517,0.021
7.0,3,53.238,0.012,44.518,0.211,49.435,0.057,55.484,0.046
10.0,3,53.194,0.029,44.655,0.202,49.62,0.097,55.371,0.077
