alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,38.674,0.0,28.585,0.0,15.955,0.0,41.308,0.0
0.1,3,39.021,0.051,29.345,0.039,17.481,0.008,41.579,0.058
0.2,3,39.335,0.089,30.144,0.12,18.343,0.047,41.832,0.12
0.3,3,39.595,0.131,31.259,0.147,18.359,0.05,41.994,0.153
0.5,3,40.013,0.087,33.565,0.334,18.354,0.215,42.171,0.156
0.7,3,40.291,0.025,34.443,0.395,18.338,0.198,42.387,0.107
1.0,3,40.608,0.02,35.082,0.681,18.239,0.261,42.714,0.139
