alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,43.947,0.0,17.151,0.0,46.021,0.0,46.117,0.0
0.1,3,44.004,0.043,17.673,0.127,46.08,0.043,46.25,0.039
0.2,3,44.07,0.067,18.522,0.346,46.268,0.085,46.295,0.066
0.3,3,44.044,0.063,19.278,0.249,46.283,0.128,46.292,0.086
0.5,3,43.998,0.105,21.635,0.553,46.497,0.164,46.061,0.116
0.7,3,43.737,0.067,23.015,0.615,46.626,0.164,45.621,0.13
1.0,3,43.284,0.121,23.691,0.847,46.606,0.121,45.024,0.153
