alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,42.526,0.0,48.018,0.0,44.868,0.0,41.713,0.0
1.0,3,42.553,0.006,48.034,0.023,44.935,0.008,41.737,0.006
2.0,3,42.585,0.004,48.058,0.04,44.982,0.021,41.767,0.006
3.0,3,42.603,0.013,48.076,0.066,45.025,0.01,41.781,0.012
5.0,3,42.625,0.032,48.067,0.087,45.112,0.015,41.795,0.029
7.0,3,42.576,0.042,48.035,0.119,45.091,0.015,41.737,0.039
10.0,3,42.413,0.1,47.843,0.137,45.003,0.142,41.56,0.103
