alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,50.695,0.0,49.727,0.0,47.773,0.0,51.892,0.0
1.0,3,50.753,0.018,49.739,0.012,47.848,0.022,51.962,0.021
2.0,3,50.805,0.027,49.769,0.011,47.928,0.027,52.017,0.04
3.0,3,50.834,0.049,49.773,0.005,47.961,0.054,52.055,0.068
5.0,3,50.905,0.088,49.817,0.022,48.161,0.085,52.101,0.12
7.0,3,50.938,0.122,49.799,0.042,48.355,0.115,52.107,0.162
10.0,3,50.897,0.196,49.585,0.092,48.542,0.173,52.065,0.252
