alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,55.453,0.0,41.318,0.0,51.482,0.0,57.814,0.0
1.0,3,55.472,0.009,41.483,0.02,51.569,0.02,57.804,0.011
2.0,3,55.488,0.026,41.751,0.025,51.656,0.035,57.783,0.029
3.0,3,55.505,0.025,42.032,0.065,51.686,0.025,57.775,0.035
5.0,3,55.52,0.057,42.587,0.099,51.762,0.043,57.726,0.08
7.0,3,55.487,0.094,42.99,0.054,51.794,0.064,57.635,0.115
10.0,3,55.412,0.166,43.366,0.235,51.913,0.153,57.488,0.175
