alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,42.526,0.0,48.018,0.0,44.868,0.0,41.713,0.0
1.0,3,42.529,0.012,47.979,0.006,44.857,0.029,41.725,0.015
2.0,3,42.508,0.019,47.925,0.005,44.862,0.096,41.706,0.024
3.0,3,42.487,0.018,47.896,0.023,44.842,0.149,41.687,0.024
5.0,3,42.4,0.011,47.76,0.051,44.75,0.263,41.606,0.021
7.0,3,42.269,0.03,47.539,0.125,44.457,0.352,41.498,0.024
10.0,3,41.877,0.056,46.625,0.202,43.849,0.396,41.183,0.035
