alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,44.224,0.0,25.531,0.0,43.914,0.0,46.346,0.0
0.1,3,44.267,0.009,26.451,0.155,43.864,0.035,46.365,0.006
0.2,3,44.284,0.015,27.853,0.14,43.836,0.062,46.287,0.032
0.3,3,44.215,0.041,28.73,0.157,43.743,0.284,46.148,0.036
0.5,3,44.068,0.035,31.069,0.77,43.522,0.311,45.791,0.045
0.7,3,43.711,0.096,31.284,0.466,43.203,0.355,45.384,0.116
1.0,3,42.904,0.126,30.908,0.353,42.356,0.393,44.575,0.153
