alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,53.11,0.0,43.981,0.0,48.983,0.0,55.492,0.0
1.0,3,53.092,0.01,44.024,0.047,48.927,0.077,55.472,0.029
2.0,3,53.091,0.027,44.146,0.142,48.945,0.078,55.448,0.055
3.0,3,53.074,0.053,44.398,0.184,48.897,0.094,55.396,0.087
5.0,3,52.924,0.048,44.444,0.231,48.778,0.124,55.21,0.099
7.0,3,52.714,0.062,44.742,0.27,48.63,0.197,54.911,0.117
10.0,3,52.076,0.081,44.84,0.375,48.341,0.289,54.082,0.129
