alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,41.196,0.0,43.922,0.0,45.914,0.0,40.552,0.0
1.0,3,41.24,0.003,43.92,0.018,45.985,0.008,40.597,0.002
2.0,3,41.287,0.006,43.941,0.018,46.048,0.015,40.643,0.007
3.0,3,41.316,0.008,43.946,0.016,46.098,0.002,40.671,0.01
5.0,3,41.331,0.035,43.925,0.035,46.183,0.025,40.679,0.045
7.0,3,41.297,0.058,43.835,0.022,46.245,0.005,40.636,0.072
10.0,3,41.151,0.101,43.605,0.038,46.248,0.006,40.476,0.122
