alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,38.674,0.0,28.585,0.0,15.955,0.0,41.308,0.0
0.1,3,39.007,0.055,29.35,0.166,17.488,0.004,41.553,0.068
0.2,3,39.269,0.071,30.256,0.138,18.41,0.009,41.724,0.078
0.3,3,39.435,0.07,31.209,0.074,18.438,0.025,41.792,0.103
0.5,3,39.78,0.119,33.605,0.362,18.498,0.012,41.857,0.165
0.7,3,39.931,0.095,34.555,0.618,18.333,0.191,41.927,0.219
1.0,3,39.994,0.135,35.006,1.239,18.275,0.088,41.978,0.213
