alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,42.731,0.0,48.104,0.0,46.831,0.0,41.851,0.0
1.0,3,42.773,0.003,48.094,0.014,46.883,0.01,41.896,0.002
2.0,3,42.818,0.007,48.107,0.017,46.919,0.02,41.943,0.009
3.0,3,42.847,0.011,48.109,0.023,46.942,0.021,41.972,0.015
5.0,3,42.869,0.042,48.081,0.046,47.043,0.046,41.985,0.054
7.0,3,42.845,0.064,48.0,0.036,47.106,0.048,41.954,0.081
10.0,3,42.726,0.101,47.786,0.018,47.137,0.039,41.819,0.127
