alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,53.11,0.0,43.981,0.0,48.983,0.0,55.492,0.0
1.0,3,53.155,0.011,44.063,0.011,49.035,0.047,55.531,0.006
2.0,3,53.195,0.015,44.169,0.04,49.128,0.063,55.551,0.012
3.0,3,53.223,0.027,44.276,0.042,49.169,0.091,55.567,0.018
5.0,3,53.277,0.035,44.442,0.108,49.257,0.101,55.6,0.029
7.0,3,53.28,0.045,44.64,0.112,49.293,0.125,55.569,0.032
10.0,3,53.189,0.02,44.729,0.238,49.328,0.126,55.428,0.031
