alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,43.947,0.0,17.151,0.0,46.021,0.0,46.117,0.0
0.1,3,44.04,0.009,17.649,0.029,46.127,0.081,46.277,0.025
0.2,3,44.105,0.048,18.601,0.173,46.269,0.076,46.339,0.073
0.3,3,44.101,0.087,19.392,0.293,46.323,0.086,46.342,0.116
0.35,3,44.085,0.065,19.819,0.16,46.323,0.08,46.315,0.106
0.4,3,44.056,0.093,20.095,0.268,46.349,0.043,46.275,0.114
0.45,3,44.011,0.099,20.257,0.218,46.375,0.062,46.221,0.137
0.5,3,43.998,0.1,21.138,0.098,46.415,0.084,46.133,0.172
0.55,3,43.968,0.114,21.669,0.138,46.443,0.111,46.059,0.195
0.6,3,43.923,0.115,22.235,0.368,46.483,0.089,45.959,0.222
0.65,3,43.87,0.132,22.505,0.296,46.539,0.079,45.866,0.25
0.7,3,43.792,0.164,22.819,0.191,46.556,0.064,45.744,0.261
1.0,3,43.317,0.216,23.551,0.362,46.524,0.057,45.117,0.311
1.25,3,42.952,0.242,24.406,0.922,46.505,0.052,44.612,0.342
1.5,3,42.486,0.286,24.664,1.117,46.487,0.051,44.083,0.384
2.0,3,41.298,0.346,24.09,0.924,46.37,0.065,42.901,0.559
