alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,52.715,0.0,51.139,0.0,20.088,0.0,55.022,0.0
1.0,3,52.736,0.038,51.081,0.079,19.834,0.169,55.094,0.034
2.0,3,52.744,0.06,51.019,0.11,19.546,0.335,55.15,0.073
3.0,3,52.736,0.08,50.985,0.133,19.506,0.32,55.168,0.101
5.0,3,52.662,0.121,50.8,0.283,19.694,0.645,55.149,0.134
7.0,3,52.651,0.121,50.651,0.345,19.72,1.127,55.192,0.089
10.0,3,52.565,0.163,50.417,0.519,19.951,1.578,55.161,0.067
