alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,46.825,0.0,30.257,0.0,44.723,0.0,48.938,0.0
0.1,3,46.957,0.03,31.371,0.12,44.946,0.043,48.995,0.042
0.2,3,47.061,0.044,32.714,0.257,45.107,0.031,49.003,0.056
0.3,3,47.111,0.067,33.911,0.235,45.15,0.033,48.968,0.079
0.35,3,47.149,0.087,34.799,0.303,45.206,0.008,48.934,0.107
0.4,3,47.158,0.106,35.097,0.398,45.288,0.017,48.901,0.138
0.45,3,47.212,0.128,36.187,0.728,45.311,0.023,48.87,0.164
0.5,3,47.248,0.127,37.176,0.649,45.348,0.022,48.817,0.153
0.55,3,47.219,0.107,37.495,0.689,45.363,0.057,48.744,0.132
0.6,3,47.184,0.099,37.842,0.54,45.385,0.093,48.658,0.12
0.65,3,47.114,0.094,38.079,0.419,45.396,0.111,48.538,0.118
0.7,3,47.044,0.096,38.137,0.612,45.441,0.113,48.428,0.112
1.0,3,46.597,0.114,37.911,0.535,45.518,0.139,47.849,0.131
1.25,3,46.176,0.126,37.275,0.492,45.42,0.297,47.399,0.133
1.5,3,45.671,0.15,36.259,0.608,45.319,0.356,46.898,0.161
2.0,3,44.486,0.304,34.308,0.536,45.085,0.52,45.676,0.44
