alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,43.947,0.0,17.151,0.0,46.021,0.0,46.117,0.0
0.1,3,44.022,0.04,18.115,0.117,46.12,0.037,46.25,0.031
0.2,3,44.089,0.066,19.139,0.42,46.367,0.085,46.269,0.073
0.3,3,44.042,0.057,19.896,0.242,46.421,0.111,46.225,0.076
0.5,3,43.928,0.109,22.152,0.492,46.697,0.173,45.915,0.123
0.7,3,43.574,0.062,23.487,0.694,46.782,0.116,45.366,0.105
1.0,3,42.957,0.144,24.041,0.922,46.623,0.102,44.587,0.158
