alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,44.224,0.0,25.531,0.0,43.914,0.0,46.346,0.0
0.1,3,44.349,0.017,26.601,0.094,43.926,0.031,46.458,0.022
0.2,3,44.449,0.028,27.694,0.355,44.03,0.03,46.501,0.015
0.3,3,44.52,0.027,28.61,0.25,44.035,0.073,46.544,0.016
0.5,3,44.591,0.043,30.71,0.305,44.04,0.168,46.476,0.06
0.7,3,44.478,0.127,31.976,0.333,44.128,0.207,46.188,0.151
1.0,3,44.124,0.122,32.684,0.77,44.092,0.231,45.665,0.151
