alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,42.526,0.0,48.018,0.0,44.868,0.0,41.713,0.0
1.0,3,42.572,0.009,48.009,0.02,44.909,0.005,41.764,0.008
2.0,3,42.615,0.015,48.005,0.023,44.934,0.002,41.812,0.014
3.0,3,42.641,0.019,47.998,0.033,44.95,0.014,41.841,0.018
5.0,3,42.663,0.041,47.956,0.045,45.013,0.03,41.86,0.045
7.0,3,42.648,0.073,47.863,0.056,45.076,0.035,41.839,0.081
10.0,3,42.516,0.11,47.622,0.077,45.065,0.039,41.696,0.125
