alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,53.11,0.0,43.981,0.0,48.983,0.0,55.492,0.0
1.0,3,53.141,0.013,44.025,0.047,49.044,0.038,55.515,0.013
2.0,3,53.168,0.015,44.157,0.077,49.134,0.069,55.51,0.024
3.0,3,53.182,0.013,44.188,0.189,49.155,0.078,55.521,0.026
5.0,3,53.198,0.026,44.474,0.244,49.262,0.085,55.475,0.041
7.0,3,53.175,0.017,44.54,0.335,49.332,0.139,55.415,0.069
10.0,3,53.104,0.029,44.742,0.393,49.524,0.203,55.254,0.101
