alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,50.92,0.0,38.875,0.0,50.12,0.0,53.198,0.0
1.0,3,50.99,0.008,38.946,0.06,50.262,0.024,53.247,0.005
2.0,3,51.06,0.022,39.094,0.072,50.434,0.056,53.277,0.016
3.0,3,51.104,0.031,39.246,0.172,50.519,0.05,53.295,0.018
5.0,3,51.131,0.027,39.507,0.266,50.648,0.053,53.258,0.025
7.0,3,51.128,0.019,39.719,0.257,50.719,0.022,53.201,0.018
10.0,3,51.038,0.041,39.728,0.19,50.825,0.089,53.056,0.062
