alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,46.825,0.0,30.257,0.0,44.723,0.0,48.938,0.0
0.1,3,46.878,0.049,30.899,0.196,44.905,0.034,48.984,0.034
0.2,3,46.975,0.066,31.871,0.51,45.185,0.079,49.003,0.021
0.3,3,46.976,0.066,32.63,0.362,45.247,0.105,48.978,0.029
0.5,3,47.006,0.12,35.078,0.529,45.572,0.198,48.755,0.08
0.7,3,46.684,0.099,35.623,0.342,45.777,0.24,48.241,0.111
1.0,3,46.066,0.084,35.178,0.121,45.829,0.168,47.45,0.083
