alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,50.695,0.0,49.727,0.0,47.773,0.0,51.892,0.0
1.0,3,50.742,0.016,49.743,0.011,47.859,0.008,51.941,0.021
2.0,3,50.796,0.029,49.783,0.016,47.955,0.012,51.989,0.045
3.0,3,50.83,0.041,49.791,0.007,48.006,0.037,52.028,0.062
5.0,3,50.908,0.067,49.817,0.016,48.229,0.05,52.086,0.096
7.0,3,50.956,0.086,49.798,0.031,48.431,0.075,52.115,0.117
10.0,3,50.954,0.122,49.617,0.066,48.644,0.133,52.119,0.158
