alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,44.224,0.0,25.531,0.0,43.914,0.0,46.346,0.0
0.1,3,44.336,0.046,26.034,0.135,44.056,0.039,46.479,0.04
0.2,3,44.469,0.068,26.869,0.319,44.276,0.079,46.572,0.05
0.3,3,44.518,0.059,27.643,0.229,44.3,0.12,46.613,0.066
0.5,3,44.634,0.095,30.043,0.351,44.538,0.17,46.517,0.096
0.7,3,44.495,0.045,30.912,0.401,44.678,0.186,46.245,0.1
1.0,3,44.185,0.045,31.055,0.545,44.678,0.156,45.854,0.062
