alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,42.526,0.0,48.018,0.0,44.868,0.0,41.713,0.0
1.0,3,42.57,0.008,48.007,0.019,44.926,0.002,41.761,0.008
2.0,3,42.615,0.012,48.02,0.018,44.981,0.014,41.806,0.012
3.0,3,42.644,0.015,48.009,0.026,45.007,0.002,41.839,0.017
5.0,3,42.67,0.04,47.993,0.042,45.143,0.022,41.854,0.048
7.0,3,42.649,0.061,47.936,0.049,45.239,0.017,41.821,0.074
10.0,3,42.546,0.092,47.74,0.058,45.287,0.047,41.705,0.117
