alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,52.715,0.0,51.139,0.0,20.088,0.0,55.022,0.0
1.0,3,52.741,0.005,51.101,0.024,19.608,0.315,55.087,0.012
2.0,3,52.742,0.007,51.074,0.065,19.304,0.508,55.119,0.007
3.0,3,52.765,0.028,51.001,0.144,19.097,0.573,55.175,0.011
5.0,3,52.783,0.031,50.954,0.219,18.811,1.051,55.211,0.05
7.0,3,52.78,0.059,50.796,0.275,18.757,1.125,55.241,0.102
10.0,3,52.773,0.062,50.721,0.321,19.725,1.027,55.225,0.125
