alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,42.731,0.0,48.104,0.0,46.831,0.0,41.851,0.0
1.0,3,42.78,0.012,48.079,0.023,46.85,0.008,41.907,0.013
2.0,3,42.828,0.022,48.073,0.019,46.857,0.034,41.961,0.023
3.0,3,42.862,0.029,48.046,0.028,46.844,0.035,42.002,0.032
5.0,3,42.901,0.07,48.034,0.043,46.892,0.064,42.037,0.077
7.0,3,42.894,0.104,47.963,0.055,46.919,0.087,42.025,0.115
10.0,3,42.797,0.144,47.733,0.072,46.873,0.042,41.921,0.163
