alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,41.196,0.0,43.922,0.0,45.914,0.0,40.552,0.0
1.0,3,41.249,0.01,43.897,0.033,45.981,0.013,40.609,0.009
2.0,3,41.299,0.015,43.904,0.032,46.035,0.03,40.661,0.016
3.0,3,41.332,0.019,43.89,0.051,46.061,0.024,40.697,0.02
5.0,3,41.361,0.054,43.874,0.071,46.15,0.057,40.719,0.061
7.0,3,41.335,0.083,43.766,0.1,46.199,0.063,40.688,0.094
10.0,3,41.196,0.114,43.439,0.173,46.152,0.078,40.547,0.137
